idx,smiles
83,CCCCC(CC)CC(S1)=C(F)C=C1C2=C3C(C=C(S3)C4=CC=C(C5=CC6=C(C=C(C7=CC=C(C)S7)C8=NN(CC(CCCC)CCCCCC)N=C86)C9=NN(CC(CCCCCC)CCCC)N=C59)S4)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)C%11=C2C=C(C)S%11
84,CC1=CC2=C(C3=CC=C(SCC(CC)CCCC)S3)C=C(C4=C5C=C(C6=C(CCCCCCCC)C=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC(CCCCCCCC)=C(C)S%10)S7)S6)S4)C(C=C5C%11=CC=C(SCC(CC)CCCC)S%11)=C2S1
85,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(C(OCC(CCCC)CCCCCC)=O)=C(C7=CC=C(C)S7)S6
86,CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCCCCCC)=C(C7=CC8=C(C9=C(C(N(CC(CCCCCC)CCCCCCCC)C8=O)=O)C=C(C%10=C(CCCCCCCCCC)C=C(C)S%10)S9)S7)S6
87,CC(SC1=C2C3=CC(C=C(CC(CCCC)CCCCCC)C=C4)=C4S3)=CC1=C(C5=CC(C=C(CC(CCCC)CCCCCC)C=C6)=C6S5)C7=C2C=C(S7)C8=CC=C(C9=C%10C(C(C%11=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%11C%10=O)=O)=C(C%12=CC=C(C)S%12)S9)S8
88,CCCCCCC(CCCC)COC1=C(C)C2=NSN=C2C(C3=CC(SC(C)=C4)=C4S3)=C1OCC(CCCC)CCCCCC
89,FC(C(F)=C(C1=CC(C(OCC(CCCCCCCCCC)CCCCCCCC)=O)=C(C2=CC(CC(CCCCCCCC)CCCCCC)=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NSN=C64)S3)S2)S1)C7=NSN=C78)=C8C9=CC(C(OCC(CCCCCCCCCC)CCCCCCCC)=O)=C(C%10=CC(CC(CCCCCCCC)CCCCCC)=C(C)S%10)S9
90,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CCCC)CCCCCC)C=C(C7=CC8=C(C(SC(C9=CC(CC(CCCC)CCCCCC)=C(C)S9)=C%10)=C%10C%11=NSN=C%118)S7)S6)S5
91,CC1=CC2=C(S1)C(C3=CC(CCCCCC)=C(CCCCCC)S3)=C4C=C(SC4=C2C5=CC(CCCCCC)=C(CCCCCC)S5)C6=CC=C(S6)C7=C(C(F)=C(C8=NN(N=C87)CC(CCCC)CCCCCC)C9=CC=C(S9)C)F
92,FC(C(F)=C(C1=CC=C(S1)C)C2=NSN=C23)=C3C4=CC=C(C5=C(CC(CCCCCC)CCCCCCC)C=C(C6=C(C(OCC(CCCCCCCC)CCCCCCCCC)=O)C=C(C7=C(F)C(F)=C(C8=CC(C(OCC(CCCCCCCC)CCCCCCCCC)=O)=C(C9=CC(CC(CCCCCC)CCCCCCC)=C(C)S9)S8)C%10=NSN=C7%10)S6)S5)S4
93,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=C(C(OCC(CC)CCCC)=O)C=C(C)S6)S5)S4)C7=CC=C(SCCCCCCCC)S7
94,CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(C(OCC(CCCC)CCCCCC)=O)=C(C7=CC=C(C)S7)S6
